,title,image,year,release_year,rating,runtime,plot,genres,score,Action,Adventure,Anime,Children,Comedy,Cult,Documentaries,Dramas,Fantasy,Horror,International,Reality,Sci-Fi,Thrillers,Romantic,media type
3658,Frank and Cindy,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABerSIZ0sfdd7avzjS8P8rB8zCQ8FPlMpgopsHhmPrUyQCrfcTLKSqzxEmWA_O_U-spYJVNCRrAwAz_ZXqtEzdCGqCFs.jpg?r=274,2015,2015,R,102 min,A student filmmaker vengefully turns his camera on his bitter mom and washed-up rock star stepdad in this dramedy based on a documentary.,"['Comedy', 'Dramas']",6.2,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,movie
3659,Iverson,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABZURqy_4KpnaLqkOJmLaEgEjEmEDIPNgKEP5nvAFz6H3tha-7ab80d55lL_v10yKFSKcP1dwHWkeqlRYJcIBHWni92w.jpg?r=ab8,2014,2014,TV-MA,88 min,"This unfiltered documentary follows the rocky life and stratospheric career of Allen Iverson, an NBA icon who left an indelible mark on the sport.","['Documentaries', 'Reality']",7.1,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,movie
3660,Jeremy Scott: The People's Designer,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABexU8tl4CClh7cC7VkTerjTD2d2MZ3gA3LiXHdzn17xjrh_pn7RmhaJjZ26kBhCnBX10ejvpXWvsSeXn7OwlKRT09r0.jpg?r=bac,2015,2015,PG-13,109 min,The journey of fashion designer Jeremy Scott from humble roots on a Missouri farm to creative director of Moschino is charted in this documentary.,['Documentaries'],6.9,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,movie
3661,Covered: Alive in Asia,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABe9-fj6792risxaeandcBDOnRc3aRJVq4QxqrX5BXJfqvyZLRRfxGkP5EARUx9lAHO7TCK0Iv5FDLgXVBlJUFMePrVc.jpg?r=336,2016,2016,TV-G,75 min,"Christian musician Israel Houghton leads his band Israel & New Breed on a tour supporting their newest album of multicultural, hybrid-genre songs.","['Documentaries', 'Reality', 'Reality', 'Reality', 'Reality']",7.3,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,movie
3662,Kung Fu Panda: Secrets of the Scroll,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABeLx9HP5ZXywzLjDVqBpwjBgbx5vvAERrHKSe_pd86Vik5wHEhtlXTjdu6Ul80044CQ-8cyPJSwUBWvImBOxAIKx7A0.jpg?r=b55,2016,2016,TV-PG,23 min,"When a twist of fate brings five unlikely animals together, they find that combining their unique kung fu styles as a team makes the perfect weapon!","['Children', 'Children', 'Comedy']",6.8,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,movie
3663,Monkey Up,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABQw4di3cDPC7UPohJBYsp3vazQl73AC49PQGu5RVqtE6IKUNThH0R-HWvOy1h9ihNm5yXihAMYO7MAVX5GcljHHTfPk.jpg?r=b22,2016,2016,PG,83 min,A talking monkey famous for his TV commercials dreams of breaking into real movies. But first he stumbles upon a brother and sister who need his help.,"['Children', 'Children', 'Comedy']",4.2,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,movie
3664,He Never Died,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABT-Kta-UPatVsTe4Lq58XlGPsHEJn_rzYbJuTTsKmm3dTw0KNgucDAV1L-VGasyXwj-zYTuM2q11B7dNYNdj0vnscc4.jpg?r=9d3,2015,2015,R,97 min,A reclusive immortal who needs human flesh but tries to stay clean finds himself cast back into society by a gang of thugs and his estranged daughter.,"['Comedy', 'Horror']",6.3,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,movie
3665,Jimmy Carr: Funny Business,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABbhjW-Qc982p-UEIOP19QVPkzWTrhFvEV_rxWwOIvSW6moTDXvOsFlxSuNnKps0iJyeq_r2Fz4I_QX2D765fmyeHOqCixwHtEjHf1Hm31ybywayiTazypfGQEvYK.jpg?r=ee6,2016,2016,TV-MA,62 min,British comedian Jimmy Carr unleashes his deadpan delivery and wickedly funny one-liners to a sold-out audience at the UK's Hammersmith Apollo.,['Comedy'],7.3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,movie
3666,My Beautiful Broken Brain,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABTdY6mTKjSQkDcAHMDEUmFLVzeFyZqMFhRDFovZRxb9AwzEmwxPihqVyIGM9zZiAPwlurwA29EE6QHNPShKw3exbCJOH7anxxbclfKw7VqELPsTaMg6XhTwtjl9z.jpg?r=e97,2016,2016,TV-14,84 min,"After suffering a stroke at age 34, a woman documents her struggles, setbacks and eventual breakthrough as she relearns to speak, read and write.","['Documentaries', 'International']",7.1,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,movie
3667,Pee-wee's Big Holiday,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABa60-cSECovWJjs9f2usbhTf7DCkJhaurkwoSCWKG5mMzULboZVe5FmBXPewqLt5UgHz4xwNnbipi1ZILi4I0MwKk-LIClgNgpC1co_Rn4723wtOGCwMLODvy16W.jpg?r=78c,2016,2016,TV-PG,90 min,A chance encounter with a mysterious stranger (Joe Manganiello) points Pee-wee toward his destiny – and his first-ever holiday!,"['Children', 'Children', 'Comedy', 'Cult']",8.0,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,movie
